teste	myservice1	delay	size	repeat	rampup	threads	samples	avg	min	max	std dev	Err %	throughput	rec kB/s	sem kB/s	avg Bytes	KO	ERR	504	500	404	timeout	conn. Reset	conn. Refused	host unreachable	no HTTP response																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	128	0	0	1	0	10000	10000	52385	0	150946	62256.529414339	0.8262	65.5531373731547	124.439712725667	1.53540299610614	1943.8622	KO	4582	0	0	0	3774	534	72	100	35																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	129	0	0	1	0	10000	10000	51145	0	258129	62604.4736958327	0.5546	37.7005670165279	53.9063471967743	2.2629618083831	1464.1716	KO	4678	0	0	0	3785	550	181	150	6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	130	0	0	1	0	10000	10000	20695	0	228191	47840.2600636021	0.2606	41.1245085621227	32.0691528209871	4.0978805713428	798.5217	KO	2606	0	0	0	1407	330	698	100	17																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	131	0	0	1	0	10000	10000	51897	0	718000	71171.0649634115	0.6222	13.8251396339103	21.5475332062573	0.703899423837306	1595.982	KO	4939	0	0	0	3662	759	235	251	4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	132	0	0	1	0	10000	10000	12	0	139	16.8266505636149	0	500.65084609993	79.6934452287974	67.4705241814359	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	133	0	0	1	0	10000	10000	51003	0	131747	62557.6265310918	0.9088	70.4354318396326	143.197399644917	0.865695479453985	2081.8235	KO	4326	0	0	0	3791	203	175	150	7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	134	0	0	1	0	10000	10000	49466	0	131969	61849.7370573672	0.7739	69.8714365567356	126.653482981938	2.12901815347261	1856.1686	KO	4741	0	0	0	3640	601	193	301	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	135	0	0	1	0	10000	10000	17	0	178	21.2872134756994	0	537.721137817928	85.5942826800021	72.4663252137441	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	136	0	0	1	0	10000	10000	2205	2	10199	2536.30401844258	0.2671	163.784067085954	33.9884728005847	23.6719159460168	212.5005		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	137	0	0	1	0	10000	10000	2349	0	31541	3063.07327703246	0	284.875936529641	45.3464625530581	38.3914836338774	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
