teste	myeureka	myzuul	myservice1	myservice2	delay	size	repeat	rampup	threads	timeout	samples	avg	min	max	90% perc	std dev	Err %	throughput	rec kB/s	sem kB/s	avg Bytes	Err	504	500	404	Conn. Timeout	conn. Reset	conn. Refused	host unreachable	no HTTP response	Too many open files
1	1024	1024	128	128	0	0	1	0	10000		10000	1565	2	9041		2341.0774815	0.1304	181.011856276586	33.7796937222826	26.1618698524753	191.0947	1304	269	1035	0	0	0	0	0	0	0
1	1024	1024	129	129	0	0	1	0	10000		10000	1734	2	8112		2372.64088194484	0.1559	186.23014321098	34.9842599155912	26.916075385962	192.3635	1559	100	1459	0	0	0	0	0	0	0
1	1024	1024	130	130	0	0	1	0	10000		10000	1166	2	8316		2079.27445830661	0.1473	173.385348938015	32.4766505472475	25.0596012136974	191.8045	1473	100	1373	0	0	0	0	0	0	0
1	1024	1024	131	131	0	0	1	0	10000		10000	2237	2	9187		2593.3963069238	0.1606	182.852127484503	34.868507892355	26.4278465504946	195.269	1606	100	1306	200	0	0	0	0	0	0
1	1024	1024	132	132	0	0	1	0	10000		10000	4300	2	12932		3085.09950392349	0.2116	192.093434246417	36.8472912724749	27.7635041684275	196.4233	2116	2901	1825	0	0	0	0	0	0	0
1	1024	1024	133	133	0	0	1	0	10000		10000	1760	2	9620		2806.21097207907	0.1597	165.398610651671	31.1108487274644	23.9052679457493	192.6105	1597	100	1497	0	0	0	0	0	0	0
1	1024	1024	134	134	0	0	1	0	10000		10000	3438	2	11830		3637.57025333691	0.1628	169.253423150483	31.8601056987628	24.4624088147183	192.7568	1628	76	1552	0	0	0	0	0	0	0
1	1024	1024	135	135	0	0	1	0	10000		10000	1518	2	10186		2654.30399324773	0.084	188.501413760603	34.5336799010368	27.2443449575872	187.598	840	60	780	0	0	0	0	0	0	0
1	1024	1024	136	136	0	0	1	0	10000		10000	2205	2	10199		2536.30401844258	0.2671	163.784067085954	33.9884728005847	23.6719159460168	212.5005	2671	100	1578	993	0	0	0	0	0	0
1	1024	1024	137	137	0	0	1	0	10000		10000	2826	2	9053		3150.61631621102	0.2387	171.403105824278	33.1001827049981	24.7731051386651	197.7478	2387	101	2286	0	0	0	0	0	0	0
1	1024	1024	138	138	0	0	1	0	10000		10000	1308	2	8438		2262.03097431694	0.17	176.962961652126	33.4419040274558	25.5766780512839	193.5123	1700	201	1499	0	0	0	0	0	0	0
1	1024	1024	139	139	0	0	1	0	10000		10000	1204	2	8001		2090.02388185427	0.1729	175.183504721195	33.1229238017448	25.3194909167353	193.6134	1729	163	1566	0	0	0	0	0	0	0
1	1024	1024	140	140	0	0	1	0	10000		10000	2110	2	9041		2638.28144660288	0.1922	180.160703347386	34.2980587121212	26.0388516556769	194.9438	1922	196	1726	0	0	0	0	0	0	0
1	1024	1024	141	141	0	0	1	0	10000		10000	2366	2	11096		2913.31336264645	0.0265	194.401244167963	34.9198360650758	28.0970548211509	183.9387	265	94	171	0	0	0	0	0	0	0
1	1024	1024	142	142	0	0	1	0	10000		10000	1595	2	9740		2607.69721114837	0.187	191.684716977515	36.4303917915812	27.7044317506565	194.615	1870	200	1670	0	0	0	0	0	0	0
